"ID_CLIENTE";"TIPO_EXTRACCION";"FECHA_ENCUESTA";"ID_PREFERENCIAS"
"8699-21";"RISK_WEB";2024-12-26;"LOC5;EXT2;LOC8;LOC31;LOC15;LOC26;EXT16;LOC49;LOC6;LOC18"
"2395-43";"RISK_WEB";2025-11-29;"EXT7;EXT19;EXT10;LOC1;LOC34;LOC8;LOC14;LOC11;LOC49"
"6327-18";"RISK_WEB";2024-01-14;"LOC18;EXT6;LOC10;LOC7;LOC6;LOC13;LOC25;EXT9;LOC46;EXT14"
"7754-54";"RISK_WEB";2024-05-30;"LOC6;EXT5;LOC38;EXT16;EXT11;EXT1;EXT49;LOC16"
"9668-11";"RISK_WEB";2024-06-15;"LOC20;EXT86;EXT18;LOC9;EXT9;EXT2;EXT20"
"7199-74";"RISK_WEB";2024-11-07;"LOC11;LOC8;EXT9;EXT12;LOC37"
"1235-45";"RISK_WEB";2025-11-22;"EXT9;LOC16;LOC6;LOC11;EXT8;LOC8;LOC38;EXT11;EXT18;EXT75"
"5585-43";"RISK_WEB";2024-02-07;"LOC4;LOC33;LOC12;LOC28;EXT20;LOC13;LOC5;EXT1;LOC6;LOC40"
"4665-50";"RISK_WEB";2024-03-11;"EXT12;EXT9;EXT8;EXT10;EXT26;EXT19;EXT5;LOC3;LOC12;EXT57"
"5945-83";"RISK_WEB";2025-01-27;"LOC42;LOC16;LOC39;LOC3;EXT15;EXT5;LOC5;LOC15"
"3075-11";"RISK_WEB";2024-09-26;"LOC32;LOC7;LOC10;LOC11;EXT66;LOC12"
"7043-49";"RISK_WEB";2025-04-24;"EXT2;EXT20;EXT16;EXT9;LOC42;LOC16;EXT79;EXT10;LOC1;EXT5"
"1681-24";"RISK_WEB";2025-11-27;"EXT1;EXT11;LOC3;LOC37;EXT23;LOC16;LOC9;EXT9;LOC35;LOC13"
"4088-61";"RISK_WEB";2025-12-03;"LOC14;LOC7;EXT23;LOC41;LOC18;LOC4;LOC11;LOC9;LOC24;LOC8"
"2783-49";"RISK_WEB";2024-04-10;"LOC37;EXT2;LOC10;LOC12;LOC9;EXT16;EXT3"
"5831-91";"RISK_WEB";2024-03-16;"LOC23;LOC30;LOC1;EXT8;LOC26;LOC4;LOC20;LOC5;EXT16;LOC17"
"8117-39";"RISK_WEB";2025-08-09;"LOC25;EXT17;LOC37;LOC9;LOC18;LOC3;EXT7;LOC14;EXT2;LOC6"
"8584-82";"RISK_WEB";2025-03-02;"EXT8;LOC2;EXT14;LOC26;EXT7;LOC16;LOC9;EXT74"
"9136-21";"RISK_WEB";2024-12-16;"LOC47;LOC11;LOC3;EXT4;LOC20;LOC10;LOC7;LOC27;EXT5;EXT17"
"3284-37";"RISK_WEB";2025-07-16;"LOC14;EXT82;LOC48;LOC6;LOC13;EXT8;LOC3;EXT12;EXT13;EXT10"
"8375-87";"RISK_WEB";2024-07-04;"LOC27;LOC23;LOC2;LOC8;LOC10;LOC6;LOC16;LOC14;LOC15;LOC48"
"4963-48";"RISK_WEB";2024-11-02;"EXT9;LOC8;LOC21;LOC48;LOC15;LOC6;EXT18;LOC1;LOC19;LOC38"
"2482-70";"RISK_WEB";2024-07-04;"LOC16;LOC5;LOC26;LOC8;LOC18;LOC2;LOC3;EXT100;LOC15;LOC37"
"8063-20";"RISK_WEB";2024-01-04;"LOC6;LOC41;EXT4;EXT7;LOC22;LOC13;LOC9;EXT15;LOC12;LOC3"
"9872-24";"RISK_WEB";2025-09-29;"LOC7;LOC3;EXT16;LOC13;EXT2;LOC36;LOC17;LOC27;LOC1"
"2380-14";"RISK_WEB";2025-02-20;"EXT36;LOC13;LOC7"
"5178-96";"RISK_WEB";2024-11-20;"LOC40;EXT28;EXT6;EXT8;LOC16;LOC2;LOC6;EXT15;LOC18"
"5504-34";"RISK_WEB";2025-05-20;"EXT8;EXT2;LOC31;EXT57;EXT13;LOC6;LOC2;LOC17;LOC19;LOC37"
"1601-90";"RISK_WEB";2024-11-15;"LOC10;LOC6;LOC45;EXT15;EXT3;LOC17;LOC22;EXT47;EXT8;LOC18"
"5712-94";"RISK_WEB";2024-03-15;"EXT61;EXT17;LOC37;EXT6;EXT2"
"1841-91";"RISK_WEB";2024-03-17;"EXT58;EXT1;EXT17;LOC39;EXT3;EXT15"
"6291-82";"RISK_WEB";2025-12-13;"EXT4;LOC37;LOC7;LOC10;LOC20;LOC8;LOC49;LOC12;LOC24;EXT12"
"2560-55";"RISK_WEB";2025-06-21;"LOC45;EXT95"
"7565-75";"RISK_WEB";2024-09-23;"EXT15;LOC3;LOC14;EXT10"
"3514-71";"RISK_WEB";2025-03-24;"LOC19;LOC5;LOC10;EXT17;LOC7;LOC13;LOC37;LOC45;EXT9;EXT7"
"8597-38";"RISK_WEB";2025-05-25;"LOC3;LOC13;LOC10;EXT6;LOC31;EXT14;LOC15;LOC4;EXT2;LOC41"
"2798-52";"RISK_WEB";2025-01-25;"LOC4;LOC8;LOC50;LOC7;LOC14;LOC19;LOC40;LOC6;LOC17;LOC39"
"9695-63";"RISK_WEB";2024-10-24;"EXT96;LOC1;LOC18"
"5503-66";"RISK_WEB";2025-11-07;"LOC42;LOC8;LOC6;LOC17;LOC20;LOC23;LOC13;LOC5;EXT71;LOC2"
"9427-21";"RISK_WEB";2025-03-28;"EXT20;EXT99;EXT5;EXT1;EXT14;LOC31;EXT63;EXT4;EXT9;EXT17"
"8316-46";"RISK_WEB";2025-10-25;"LOC20;EXT1;LOC5;EXT23;EXT7;EXT9;EXT33;EXT5;EXT17;EXT16"
"3331-50";"RISK_WEB";2025-12-11;"LOC21;EXT10;LOC20;LOC6;LOC4;LOC44;LOC7;EXT13;LOC14;EXT4"
"4198-84";"RISK_WEB";2024-07-03;"LOC9;LOC39;LOC17;EXT78;LOC1;EXT5;LOC46;LOC20;EXT8;EXT17"
"7511-62";"RISK_WEB";2025-09-26;"LOC21;EXT10;EXT7;EXT20"
"8007-73";"RISK_WEB";2025-06-03;"LOC33;EXT8;EXT10;EXT15;LOC20;EXT77;LOC10"
"6080-53";"RISK_WEB";2025-04-26;"EXT1;EXT16;EXT23;EXT2;LOC42;EXT17;EXT9;EXT4;EXT75;EXT13"
"7747-51";"RISK_WEB";2024-02-17;"LOC19;EXT76;EXT3;LOC29;EXT20;LOC1;LOC8;EXT6;LOC13;LOC34"
"7440-62";"RISK_WEB";2024-04-15;"EXT56;LOC10;LOC7;LOC26;LOC15;LOC38;LOC12;LOC4;LOC18;LOC3"
"6720-52";"RISK_WEB";2025-04-16;"EXT17;EXT1;EXT3;LOC3;LOC16"
"3047-43";"RISK_WEB";2025-07-25;"EXT17;EXT2;LOC3;EXT79;LOC20;EXT4;EXT58;EXT16;EXT3;EXT7"
"5175-77";"RISK_WEB";2025-04-12;"EXT8;EXT14;EXT27;LOC7;EXT2;EXT1;EXT7;EXT15;LOC17;EXT28"
"1855-84";"RISK_WEB";2024-02-29;"LOC32;EXT2;EXT18;LOC50;EXT3;LOC18;LOC15;EXT66;LOC10;LOC6"
"8722-57";"RISK_WEB";2025-04-20;"LOC45;LOC17;LOC43;LOC47;LOC2;LOC11;LOC1;LOC19;LOC8;LOC6"
"1982-28";"RISK_WEB";2025-02-21;"LOC17;LOC10;LOC7;EXT73;LOC5;LOC29;LOC20;LOC4;LOC45;LOC15"
"2430-45";"RISK_WEB";2025-09-23;"LOC3;LOC26;LOC48;LOC1;LOC4;LOC20;LOC11;LOC17;LOC10;LOC39"
"6934-18";"RISK_WEB";2024-10-10;"LOC21;LOC8;LOC2;LOC14;LOC4;LOC22;LOC16;EXT83"
"6866-29";"RISK_WEB";2024-08-06;"EXT18;LOC19;LOC13;LOC6;EXT3;LOC29;LOC4;LOC46;EXT2;EXT46"
"2437-15";"RISK_WEB";2024-07-20;"LOC19;EXT9;EXT19;LOC36;LOC2;LOC5;EXT1;EXT13;EXT90;LOC14"
"8848-44";"RISK_WEB";2024-10-27;"LOC11;LOC4;EXT97"
"7706-52";"RISK_WEB";2025-01-13;"LOC7;LOC1;LOC34;LOC19;LOC4;LOC42;LOC37;LOC20;LOC15;LOC2"
"4003-62";"RISK_WEB";2024-03-06;"LOC33;LOC30;LOC2;LOC17;LOC16;LOC7;LOC14;LOC21;LOC4;LOC8"
"8955-76";"RISK_WEB";2024-04-02;"LOC41;EXT3;EXT57;EXT5;EXT6;EXT20;LOC18;EXT8;EXT17;LOC7"
"6857-96";"RISK_WEB";2025-12-28;"LOC7;LOC2;EXT15;LOC28;LOC20;EXT1;LOC49;LOC4;LOC18;EXT7"
"8681-24";"RISK_WEB";2024-10-21;"LOC33;EXT69;LOC48;LOC6;LOC10;LOC15;LOC17;LOC23;LOC5"
"4599-88";"RISK_WEB";2024-08-08;"EXT4;EXT93;LOC2;LOC18;EXT1;LOC10;EXT16;LOC11;EXT12;LOC22"
"9907-82";"RISK_WEB";2025-05-30;"EXT17;EXT96;LOC42;EXT6;EXT16;EXT4;EXT10;EXT77;EXT11;EXT5"
"8609-53";"RISK_WEB";2024-01-23;"LOC38;LOC3;EXT7;LOC14;EXT18;LOC7"
"4774-15";"RISK_WEB";2024-08-19;"LOC49;LOC13;EXT10;LOC9;EXT11;LOC10;LOC17;EXT3"
"4917-97";"RISK_WEB";2025-02-10;"EXT2;LOC2;EXT18;LOC17;LOC6;LOC33;LOC28;LOC8;LOC13;EXT3"
"3813-25";"RISK_WEB";2024-06-21;"LOC13;LOC15;EXT6;EXT7;EXT99;LOC4;LOC7;EXT13;LOC31;EXT12"
"2297-45";"RISK_WEB";2025-02-11;"EXT2;EXT16;EXT8;EXT39;EXT15;LOC18;EXT3;LOC1;LOC7;LOC48"
"4883-63";"RISK_WEB";2025-03-30;"LOC23;EXT9;LOC44;EXT6;EXT11;LOC7;LOC16;LOC4;LOC20;LOC1"
"1116-91";"RISK_WEB";2025-10-27;"LOC12;LOC40;EXT14;LOC17;LOC2;LOC7;EXT1"
"6658-44";"RISK_WEB";2024-02-15;"LOC12;EXT35;LOC1;LOC16;LOC5;LOC13;LOC34;LOC4;LOC29;LOC10"
"1457-37";"RISK_WEB";2025-09-01;"LOC6;LOC7;EXT7;LOC13;LOC12;LOC48;EXT15"
"5908-69";"RISK_WEB";2025-04-24;"EXT4;LOC4;EXT1;EXT79;EXT16;EXT11;EXT5;LOC15"
"3636-61";"RISK_WEB";2025-04-04;"LOC31;LOC26;LOC13;EXT2;LOC16;EXT18;LOC4;LOC43;LOC7;LOC5"
"1305-48";"RISK_WEB";2024-08-19;"LOC33;LOC6;LOC34;LOC12;LOC11;LOC20;LOC5;LOC9;LOC31;LOC8"
"7962-54";"RISK_WEB";2024-04-08;"EXT7;LOC19;LOC11;EXT6;LOC43;LOC6;EXT18;LOC2;EXT11;EXT22"
"6775-91";"RISK_WEB";2024-05-18;"LOC2;EXT3;EXT9;LOC15;EXT12;EXT59"
"1799-64";"RISK_WEB";2025-07-13;"EXT7;LOC44;EXT9;LOC3;LOC8;LOC18;EXT20;LOC19"
"2757-57";"RISK_WEB";2024-01-22;"EXT15;LOC3;EXT7;LOC20;EXT1"
"8791-16";"RISK_WEB";2024-05-11;"EXT11;LOC7;EXT4;LOC17;EXT7;LOC32;LOC1;LOC16;LOC9;LOC30"
"4941-34";"RISK_WEB";2025-11-05;"LOC2;LOC10;LOC15;LOC5;LOC20;LOC38;LOC9;LOC49;LOC18;LOC36"
"2820-45";"RISK_WEB";2025-09-16;"LOC21;LOC7;EXT54;LOC16;LOC3;LOC18"
"3308-25";"RISK_WEB";2025-03-27;"EXT8;LOC14;EXT19;LOC7;EXT28;EXT16;EXT10;EXT2;EXT84;EXT5"
"7382-35";"RISK_WEB";2025-05-22;"LOC5;LOC17;LOC24;LOC9;LOC7;LOC49;LOC12;EXT49"
"1006-28";"RISK_WEB";2024-07-18;"LOC11;LOC2;EXT3;EXT2;LOC39;LOC38;LOC10;LOC5;EXT20;LOC17"
"9707-88";"RISK_WEB";2025-06-24;"LOC9;LOC18;LOC8;EXT18;EXT8;LOC10;LOC27;LOC15;LOC41"
"8275-16";"RISK_WEB";2025-11-05;"EXT2;EXT21;LOC2;EXT17;EXT11;LOC20;LOC8;EXT7;LOC40"
"7616-36";"RISK_WEB";2025-04-24;"LOC35;EXT24"
"2166-91";"RISK_WEB";2024-04-19;"LOC3;LOC21;LOC15;LOC12;LOC45;LOC18;LOC44;LOC5;LOC8;LOC9"
"9238-36";"RISK_WEB";2024-09-06;"LOC24;EXT12;LOC37;LOC7;EXT55;LOC1;LOC20;LOC17;EXT8;EXT3"
"5942-53";"RISK_WEB";2024-05-15;"EXT8;EXT9;LOC36;LOC18;LOC45;EXT50;LOC3;LOC19;EXT16;LOC5"
"5989-35";"RISK_WEB";2024-05-12;"LOC1;EXT16;LOC43;LOC8;EXT9;EXT6;LOC18;LOC17"
"5759-90";"RISK_WEB";2024-07-09;"LOC14;LOC31;EXT69;LOC2;LOC9"
"3629-37";"RISK_WEB";2024-01-27;"LOC9;LOC14;LOC10;LOC49;LOC2;LOC17;LOC27;LOC30;LOC6;LOC15"
"4901-76";"RISK_WEB";2025-03-24;"EXT27;LOC43"
"6350-34";"RISK_WEB";2024-07-13;"LOC10;EXT16;EXT23;LOC47;LOC9;LOC11;EXT5;EXT3;EXT11;EXT9"
"8185-25";"RISK_WEB";2025-02-07;"LOC12;LOC26;LOC3;LOC14;LOC4;LOC10;EXT5;EXT9;LOC33;EXT17"
"3578-55";"RISK_WEB";2025-04-11;"LOC5;EXT5;LOC2;LOC37;LOC6;LOC48;EXT20;LOC17;LOC11;LOC31"
"3545-79";"RISK_WEB";2024-10-12;"LOC21;LOC16;EXT20;EXT2;EXT4;LOC8;LOC9"
"6410-11";"RISK_WEB";2024-07-25;"EXT6;LOC23;EXT66;EXT19;EXT57;EXT2;EXT7;EXT17;EXT4"
"1231-20";"RISK_WEB";2024-02-25;"EXT9;EXT77;EXT20;LOC4;LOC19;LOC27;EXT5;EXT12;EXT6;EXT1"
"2463-69";"RISK_WEB";2024-07-12;"LOC15;LOC21;LOC2;LOC6;LOC9;EXT3;LOC26;LOC11;EXT11;EXT9"
"3668-14";"RISK_WEB";2025-05-03;"LOC11;LOC49;EXT7;LOC4;EXT20;LOC5;LOC17;LOC46;LOC9;EXT2"
"6831-91";"RISK_WEB";2024-03-26;"LOC3;EXT31;LOC8;LOC19;EXT9;EXT12;EXT7;LOC35;EXT1;EXT13"
"8662-48";"RISK_WEB";2025-04-09;"LOC11;LOC2;LOC9;LOC33;LOC31;LOC6;LOC22;LOC16;LOC15;LOC3"
"4708-59";"RISK_WEB";2024-11-16;"LOC47;EXT18;EXT3"
"1519-38";"RISK_WEB";2024-02-15;"LOC13;EXT67;LOC29;LOC14;LOC27;LOC2;LOC3"
"8350-62";"RISK_WEB";2024-01-10;"EXT9;LOC1;EXT14;LOC11;EXT13;EXT8;LOC24;LOC4;EXT2;EXT67"
"4717-79";"RISK_WEB";2025-07-21;"LOC26;EXT10;EXT16;EXT17;LOC17;LOC20;LOC6;EXT7;LOC8;EXT29"
"6501-68";"RISK_WEB";2025-09-28;"EXT61;LOC1;LOC47;LOC15;LOC41;LOC2;LOC6;LOC20;LOC11;LOC7"
"1847-93";"RISK_WEB";2024-03-28;"LOC39;LOC8;LOC3;LOC18;EXT19;EXT10;LOC15;EXT3"
"4041-74";"RISK_WEB";2025-06-20;"LOC37;LOC12;LOC9;LOC1;LOC5;LOC10;LOC20;LOC16;LOC42;LOC43"
"5068-53";"RISK_WEB";2024-01-12;"EXT19;LOC14;LOC39;EXT2;EXT7;LOC2;LOC4;LOC46;LOC15"
"5918-25";"RISK_WEB";2025-05-22;"EXT5;LOC36;EXT6;EXT50;EXT11;EXT4;EXT7;EXT13"
"8075-14";"RISK_WEB";2025-06-27;"LOC30;LOC19;EXT51;LOC5;LOC16;LOC40;LOC7;LOC1"
"9241-91";"RISK_WEB";2025-05-25;"LOC23;LOC19;LOC38;LOC12;LOC5;LOC6;EXT3;LOC28;LOC9;EXT16"
"5619-10";"RISK_WEB";2025-07-14;"LOC39;EXT13;EXT1;EXT7"
"2843-79";"RISK_WEB";2024-03-24;"LOC4;EXT7;LOC5;LOC12;EXT13;LOC38;EXT9;EXT6;EXT89;EXT20"
"1521-16";"RISK_WEB";2025-11-17;"LOC47;LOC6;LOC8;LOC16;LOC45;EXT32;LOC9;LOC17"
"1365-45";"RISK_WEB";2025-04-24;"LOC8;LOC30;LOC11;LOC25;LOC17;LOC2;LOC18;LOC7;LOC50;LOC6"
"3057-77";"RISK_WEB";2024-02-01;"LOC3;LOC5;LOC17;LOC29;LOC6;LOC11;EXT55;LOC14;LOC1;LOC27"
"1388-70";"RISK_WEB";2025-08-25;"EXT11;EXT36;EXT10;EXT4;LOC38"
"7338-79";"RISK_WEB";2024-10-16;"LOC19;LOC15;LOC4;LOC39;LOC6;LOC11;LOC2;LOC46;LOC22;LOC9"
"8230-57";"RISK_WEB";2024-04-21;"EXT18;LOC16;LOC8;LOC30;EXT5;EXT2;LOC10"
"5846-23";"RISK_WEB";2025-01-13;"LOC1;LOC43;LOC6;LOC15;LOC5;LOC20;LOC44;LOC2;LOC14;LOC41"
"5352-74";"RISK_WEB";2024-10-22;"LOC6;LOC41;LOC20;LOC5;LOC17;LOC26;LOC2;LOC10;LOC15;LOC47"
"1784-23";"RISK_WEB";2024-06-11;"LOC5;LOC37;LOC41;EXT15;LOC6;LOC22;LOC7;LOC19;LOC17;EXT10"
"9337-92";"RISK_WEB";2025-11-02;"LOC10;LOC4;LOC11;LOC18;EXT93;LOC20;LOC35;LOC7;LOC2;LOC42"
"3945-33";"RISK_WEB";2024-04-28;"LOC27;LOC12;LOC50;LOC11;EXT1;LOC3;LOC4;EXT11;LOC6"
"6440-54";"RISK_WEB";2024-11-08;"EXT19;EXT1;LOC18;EXT9;EXT27;LOC5;LOC23;EXT4;EXT18"
"9278-88";"RISK_WEB";2024-10-26;"EXT11;LOC10;LOC2;EXT7;LOC13;EXT31;EXT4;EXT14;LOC37"
"6181-49";"RISK_WEB";2025-05-18;"EXT2;EXT6;LOC17;EXT3;LOC7;EXT99;LOC30;EXT14;EXT12;EXT10"
"7846-72";"RISK_WEB";2024-11-24;"LOC50;LOC4;LOC8;LOC9;EXT8;LOC47;LOC14;EXT14;LOC16;EXT7"
"8374-41";"RISK_WEB";2025-02-11;"EXT1;EXT4;EXT20;EXT10;EXT7;EXT13;EXT42;LOC31"
"3113-39";"RISK_WEB";2025-10-02;"EXT90;LOC41;LOC47;EXT7;LOC14;LOC8;LOC4;LOC20;EXT1;EXT12"
"5341-12";"RISK_WEB";2024-06-03;"LOC28;LOC4;LOC1;EXT6;EXT18;EXT81;EXT14;EXT3;EXT9;LOC18"
"3109-92";"RISK_WEB";2024-07-27;"LOC27;EXT16;EXT10"
"4111-89";"RISK_WEB";2025-06-08;"LOC13;LOC15;LOC4;LOC46;LOC10;LOC16;LOC8;LOC21;EXT74;LOC3"
"1337-86";"RISK_WEB";2025-01-11;"LOC10;LOC20;LOC39;EXT3;LOC14;EXT6;LOC6;EXT12"
"9791-42";"RISK_WEB";2025-05-29;"LOC35;LOC6;EXT92;LOC19"
"7096-33";"RISK_WEB";2024-11-14;"EXT36;LOC15;EXT14;EXT2;LOC3;EXT11;LOC6;LOC32;LOC19;EXT1"
"3180-58";"RISK_WEB";2024-11-10;"LOC10;LOC29;LOC18;EXT89;LOC9;LOC15;LOC24"
"2237-49";"RISK_WEB";2024-12-23;"EXT11;EXT9;LOC20;EXT4;LOC10"
"7848-22";"RISK_WEB";2024-08-08;"LOC27;LOC18;EXT1;EXT15;EXT10;LOC6"
"4515-26";"RISK_WEB";2025-05-06;"EXT2;LOC22;LOC10;EXT11;LOC26;LOC11;EXT78;EXT1;LOC1;LOC20"
"7994-86";"RISK_WEB";2024-09-12;"EXT13;EXT1;LOC7;LOC14;LOC43;LOC11;EXT7;EXT29;LOC45;LOC8"
"5576-25";"RISK_WEB";2024-12-15;"LOC22;EXT12;LOC10;EXT8;EXT52;LOC17;LOC33;EXT9;LOC8;LOC20"
"5748-73";"RISK_WEB";2024-09-25;"LOC18;LOC27;LOC40;LOC2;EXT3;LOC6;LOC9;LOC21;EXT13;LOC13"
"6910-93";"RISK_WEB";2024-12-30;"EXT20;LOC14;EXT5;LOC22;LOC3;EXT90;EXT11;EXT8"
"2279-74";"RISK_WEB";2024-07-10;"LOC10;EXT53;LOC6;LOC14;LOC5;LOC46;LOC16;LOC17;LOC8;LOC42"
"7924-25";"RISK_WEB";2025-05-26;"LOC6;LOC20;EXT2;EXT1;EXT34;EXT16;EXT17;LOC9;LOC33;EXT3"
"8233-93";"RISK_WEB";2025-03-17;"LOC43;LOC35;LOC1;EXT5;EXT4;LOC13;LOC15;LOC9;LOC8;EXT19"
"8697-38";"RISK_WEB";2025-04-28;"EXT99;EXT9;LOC47;LOC5;EXT4;LOC19;EXT14;EXT15;LOC4;LOC11"
"6796-38";"RISK_WEB";2025-04-08;"EXT5;EXT73;EXT10;EXT2;EXT19;EXT18;LOC36"
"5159-22";"RISK_WEB";2024-08-13;"EXT13;LOC34;EXT3;EXT6;EXT28;LOC19;LOC5"
"7806-71";"RISK_WEB";2025-02-11;"LOC3;EXT9;EXT11;LOC15;EXT91;EXT19;EXT2"
"3618-70";"RISK_WEB";2025-09-19;"LOC8;LOC33;LOC11;LOC1;LOC29;LOC28;LOC20;EXT2;LOC6;EXT20"
"1014-91";"RISK_WEB";2025-12-26;"EXT1;LOC29;LOC1;LOC9;EXT80;LOC15;EXT12;EXT6;LOC16;EXT13"
"4255-73";"RISK_WEB";2025-10-24;"LOC13;EXT15;LOC3;LOC30;EXT91;EXT2;LOC16;LOC5;EXT7;LOC47"
"9378-19";"RISK_WEB";2025-07-05;"LOC7;LOC43;EXT5;LOC8;EXT10;LOC14;EXT13;EXT76;LOC16"
"3711-56";"RISK_WEB";2024-03-04;"LOC3;LOC10;LOC8;LOC11;LOC15;LOC32;LOC45;LOC14;LOC48;LOC4"
"2389-48";"RISK_WEB";2024-10-29;"LOC11;LOC5;EXT20;LOC19;EXT1;LOC9;EXT61;LOC37;EXT10;EXT16"
"3054-35";"RISK_WEB";2024-03-12;"LOC50;EXT1;EXT8;LOC17;EXT3;EXT56;EXT4;EXT16;EXT14;LOC9"
"5070-83";"RISK_WEB";2024-06-09;"LOC16;LOC30;LOC3;LOC36;LOC20;EXT19;LOC9;LOC24;LOC7;EXT1"
"5106-12";"RISK_WEB";2025-05-01;"LOC17;LOC41;LOC15;LOC4;LOC10;EXT89;LOC16;LOC39;LOC2;LOC5"
"8256-13";"RISK_WEB";2024-12-24;"EXT16;LOC34;EXT58;EXT8;EXT4"
"8069-28";"RISK_WEB";2024-04-09;"LOC38;LOC4;EXT17;LOC9;LOC14;LOC20;EXT7;LOC43"
"7086-50";"RISK_WEB";2024-12-09;"LOC2;LOC21;LOC18;LOC1;LOC49;LOC17;LOC12;LOC10;LOC8;LOC50"
"2451-86";"RISK_WEB";2024-08-29;"EXT10;EXT15;LOC38;EXT5"
"2561-32";"RISK_WEB";2024-07-18;"EXT57;EXT11;EXT3;EXT15;LOC17;EXT10;LOC46;LOC6;LOC2;EXT5"
"9054-14";"RISK_WEB";2025-02-16;"LOC5;LOC4;LOC2;LOC16;LOC10;LOC44;LOC11;LOC27;LOC15;LOC35"
"4266-32";"RISK_WEB";2024-07-17;"LOC2;LOC20;LOC6;LOC37;LOC47;LOC11;LOC3;LOC1;LOC15;LOC44"
"4455-20";"RISK_WEB";2025-03-26;"LOC9;EXT5;EXT18;LOC18;LOC43;LOC2;EXT9;LOC36;LOC5;LOC13"
"6257-68";"RISK_WEB";2024-03-02;"EXT6;EXT5;LOC6;EXT9;LOC9;EXT35;EXT14;LOC26;EXT16;LOC18"
"7519-82";"RISK_WEB";2025-03-28;"EXT12;EXT4;EXT83;LOC28;EXT6;EXT19;LOC5;EXT8;EXT5;LOC18"
"2360-30";"RISK_WEB";2024-10-16;"LOC3;LOC43;LOC49;LOC28;LOC9;LOC4;EXT6;EXT19;LOC14;LOC19"
"2593-98";"RISK_WEB";2025-02-25;"EXT11;EXT16;EXT4;EXT10;EXT5;EXT33;LOC49;EXT6"
"7379-50";"RISK_WEB";2025-05-31;"EXT1;EXT87;EXT4;EXT14;LOC5;LOC1;LOC38;EXT12;LOC15;EXT2"
